"seqn","paxstat","paxcal","paxday","paxn","paxhour","paxminut","paxinten"
21016,1,2,1,1,0,0,0
21016,1,2,1,2,0,1,0
21016,1,2,1,3,0,2,0
21016,1,2,1,4,0,3,0
21016,1,2,1,5,0,4,0
21016,1,2,1,6,0,5,0
21016,1,2,1,7,0,6,0
21016,1,2,1,8,0,7,0
21016,1,2,1,9,0,8,0
21016,1,2,1,10,0,9,0
21016,1,2,1,11,0,10,0
21016,1,2,1,12,0,11,0
21016,1,2,1,13,0,12,0
21016,1,2,1,14,0,13,0
21016,1,2,1,15,0,14,0
21016,1,2,1,16,0,15,10
21016,1,2,1,17,0,16,0
21016,1,2,1,18,0,17,0
21016,1,2,1,19,0,18,0
21016,1,2,1,20,0,19,0
21016,1,2,1,21,0,20,0
21016,1,2,1,22,0,21,0
21016,1,2,1,23,0,22,0
21016,1,2,1,24,0,23,0
21016,1,2,1,25,0,24,0
21016,1,2,1,26,0,25,0
21016,1,2,1,27,0,26,0
21016,1,2,1,28,0,27,0
21016,1,2,1,29,0,28,0
21016,1,2,1,30,0,29,0
21016,1,2,1,31,0,30,0
21016,1,2,1,32,0,31,0
21016,1,2,1,33,0,32,0
21016,1,2,1,34,0,33,0
21016,1,2,1,35,0,34,0
21016,1,2,1,36,0,35,0
21016,1,2,1,37,0,36,0
21016,1,2,1,38,0,37,0
21016,1,2,1,39,0,38,0
21016,1,2,1,40,0,39,0
21016,1,2,1,41,0,40,0
21016,1,2,1,42,0,41,0
21016,1,2,1,43,0,42,0
21016,1,2,1,44,0,43,0
21016,1,2,1,45,0,44,0
21016,1,2,1,46,0,45,0
21016,1,2,1,47,0,46,0
21016,1,2,1,48,0,47,0
21016,1,2,1,49,0,48,0
21016,1,2,1,50,0,49,0
21016,1,2,1,51,0,50,0
21016,1,2,1,52,0,51,0
21016,1,2,1,53,0,52,0
21016,1,2,1,54,0,53,0
21016,1,2,1,55,0,54,0
21016,1,2,1,56,0,55,0
21016,1,2,1,57,0,56,0
21016,1,2,1,58,0,57,0
21016,1,2,1,59,0,58,0
21016,1,2,1,60,0,59,0
21016,1,2,1,61,1,0,0
21016,1,2,1,62,1,1,0
21016,1,2,1,63,1,2,0
21016,1,2,1,64,1,3,0
21016,1,2,1,65,1,4,0
21016,1,2,1,66,1,5,0
21016,1,2,1,67,1,6,0
21016,1,2,1,68,1,7,0
21016,1,2,1,69,1,8,0
21016,1,2,1,70,1,9,0
21016,1,2,1,71,1,10,0
21016,1,2,1,72,1,11,0
21016,1,2,1,73,1,12,0
21016,1,2,1,74,1,13,0
21016,1,2,1,75,1,14,0
21016,1,2,1,76,1,15,0
21016,1,2,1,77,1,16,0
21016,1,2,1,78,1,17,0
21016,1,2,1,79,1,18,0
21016,1,2,1,80,1,19,0
21016,1,2,1,81,1,20,0
21016,1,2,1,82,1,21,0
21016,1,2,1,83,1,22,0
21016,1,2,1,84,1,23,0
21016,1,2,1,85,1,24,0
21016,1,2,1,86,1,25,0
21016,1,2,1,87,1,26,0
21016,1,2,1,88,1,27,0
21016,1,2,1,89,1,28,0
21016,1,2,1,90,1,29,0
21016,1,2,1,91,1,30,0
21016,1,2,1,92,1,31,0
21016,1,2,1,93,1,32,0
21016,1,2,1,94,1,33,0
21016,1,2,1,95,1,34,0
21016,1,2,1,96,1,35,0
21016,1,2,1,97,1,36,0
21016,1,2,1,98,1,37,0
21016,1,2,1,99,1,38,0
21016,1,2,1,100,1,39,0
21016,1,2,1,101,1,40,0
21016,1,2,1,102,1,41,0
21016,1,2,1,103,1,42,0
21016,1,2,1,104,1,43,0
21016,1,2,1,105,1,44,0
21016,1,2,1,106,1,45,0
21016,1,2,1,107,1,46,0
21016,1,2,1,108,1,47,0
21016,1,2,1,109,1,48,0
21016,1,2,1,110,1,49,0
21016,1,2,1,111,1,50,0
21016,1,2,1,112,1,51,0
21016,1,2,1,113,1,52,0
21016,1,2,1,114,1,53,0
21016,1,2,1,115,1,54,0
21016,1,2,1,116,1,55,0
21016,1,2,1,117,1,56,0
21016,1,2,1,118,1,57,0
21016,1,2,1,119,1,58,0
21016,1,2,1,120,1,59,0
21016,1,2,1,121,2,0,0
21016,1,2,1,122,2,1,0
21016,1,2,1,123,2,2,0
21016,1,2,1,124,2,3,0
21016,1,2,1,125,2,4,0
21016,1,2,1,126,2,5,0
21016,1,2,1,127,2,6,0
21016,1,2,1,128,2,7,0
21016,1,2,1,129,2,8,0
21016,1,2,1,130,2,9,0
21016,1,2,1,131,2,10,0
21016,1,2,1,132,2,11,0
21016,1,2,1,133,2,12,0
21016,1,2,1,134,2,13,0
21016,1,2,1,135,2,14,0
21016,1,2,1,136,2,15,0
21016,1,2,1,137,2,16,0
21016,1,2,1,138,2,17,0
21016,1,2,1,139,2,18,0
21016,1,2,1,140,2,19,0
21016,1,2,1,141,2,20,0
21016,1,2,1,142,2,21,0
21016,1,2,1,143,2,22,0
21016,1,2,1,144,2,23,0
21016,1,2,1,145,2,24,0
21016,1,2,1,146,2,25,0
21016,1,2,1,147,2,26,0
21016,1,2,1,148,2,27,0
21016,1,2,1,149,2,28,0
21016,1,2,1,150,2,29,0
21016,1,2,1,151,2,30,0
21016,1,2,1,152,2,31,0
21016,1,2,1,153,2,32,0
21016,1,2,1,154,2,33,0
21016,1,2,1,155,2,34,0
21016,1,2,1,156,2,35,0
21016,1,2,1,157,2,36,0
21016,1,2,1,158,2,37,0
21016,1,2,1,159,2,38,0
21016,1,2,1,160,2,39,0
21016,1,2,1,161,2,40,0
21016,1,2,1,162,2,41,0
21016,1,2,1,163,2,42,0
21016,1,2,1,164,2,43,0
21016,1,2,1,165,2,44,0
21016,1,2,1,166,2,45,0
21016,1,2,1,167,2,46,0
21016,1,2,1,168,2,47,0
21016,1,2,1,169,2,48,0
21016,1,2,1,170,2,49,0
21016,1,2,1,171,2,50,0
21016,1,2,1,172,2,51,0
21016,1,2,1,173,2,52,0
21016,1,2,1,174,2,53,0
21016,1,2,1,175,2,54,0
21016,1,2,1,176,2,55,0
21016,1,2,1,177,2,56,0
21016,1,2,1,178,2,57,0
21016,1,2,1,179,2,58,0
21016,1,2,1,180,2,59,0
21016,1,2,1,181,3,0,0
21016,1,2,1,182,3,1,0
21016,1,2,1,183,3,2,0
21016,1,2,1,184,3,3,0
21016,1,2,1,185,3,4,0
21016,1,2,1,186,3,5,0
21016,1,2,1,187,3,6,0
21016,1,2,1,188,3,7,0
21016,1,2,1,189,3,8,0
21016,1,2,1,190,3,9,0
21016,1,2,1,191,3,10,0
21016,1,2,1,192,3,11,0
21016,1,2,1,193,3,12,0
21016,1,2,1,194,3,13,0
21016,1,2,1,195,3,14,0
21016,1,2,1,196,3,15,0
21016,1,2,1,197,3,16,0
21016,1,2,1,198,3,17,0
21016,1,2,1,199,3,18,0
21016,1,2,1,200,3,19,0
21016,1,2,1,201,3,20,0
21016,1,2,1,202,3,21,0
21016,1,2,1,203,3,22,0
21016,1,2,1,204,3,23,0
21016,1,2,1,205,3,24,0
21016,1,2,1,206,3,25,0
21016,1,2,1,207,3,26,0
21016,1,2,1,208,3,27,0
21016,1,2,1,209,3,28,0
21016,1,2,1,210,3,29,0
21016,1,2,1,211,3,30,0
21016,1,2,1,212,3,31,0
21016,1,2,1,213,3,32,0
21016,1,2,1,214,3,33,0
21016,1,2,1,215,3,34,0
21016,1,2,1,216,3,35,0
21016,1,2,1,217,3,36,0
21016,1,2,1,218,3,37,0
21016,1,2,1,219,3,38,0
21016,1,2,1,220,3,39,0
21016,1,2,1,221,3,40,0
21016,1,2,1,222,3,41,0
21016,1,2,1,223,3,42,0
21016,1,2,1,224,3,43,0
21016,1,2,1,225,3,44,0
21016,1,2,1,226,3,45,0
21016,1,2,1,227,3,46,0
21016,1,2,1,228,3,47,0
21016,1,2,1,229,3,48,0
21016,1,2,1,230,3,49,0
21016,1,2,1,231,3,50,0
21016,1,2,1,232,3,51,0
21016,1,2,1,233,3,52,0
21016,1,2,1,234,3,53,0
21016,1,2,1,235,3,54,0
21016,1,2,1,236,3,55,0
21016,1,2,1,237,3,56,0
21016,1,2,1,238,3,57,0
21016,1,2,1,239,3,58,0
21016,1,2,1,240,3,59,0
21016,1,2,1,241,4,0,0
21016,1,2,1,242,4,1,0
21016,1,2,1,243,4,2,0
21016,1,2,1,244,4,3,0
21016,1,2,1,245,4,4,0
21016,1,2,1,246,4,5,0
21016,1,2,1,247,4,6,0
21016,1,2,1,248,4,7,0
21016,1,2,1,249,4,8,0
21016,1,2,1,250,4,9,0
21016,1,2,1,251,4,10,0
21016,1,2,1,252,4,11,0
21016,1,2,1,253,4,12,0
21016,1,2,1,254,4,13,0
21016,1,2,1,255,4,14,0
21016,1,2,1,256,4,15,0
21016,1,2,1,257,4,16,0
21016,1,2,1,258,4,17,0
21016,1,2,1,259,4,18,0
21016,1,2,1,260,4,19,0
21016,1,2,1,261,4,20,0
21016,1,2,1,262,4,21,0
21016,1,2,1,263,4,22,0
21016,1,2,1,264,4,23,0
21016,1,2,1,265,4,24,0
21016,1,2,1,266,4,25,0
21016,1,2,1,267,4,26,0
21016,1,2,1,268,4,27,0
21016,1,2,1,269,4,28,0
21016,1,2,1,270,4,29,0
21016,1,2,1,271,4,30,0
21016,1,2,1,272,4,31,0
21016,1,2,1,273,4,32,0
21016,1,2,1,274,4,33,0
21016,1,2,1,275,4,34,0
21016,1,2,1,276,4,35,0
21016,1,2,1,277,4,36,0
21016,1,2,1,278,4,37,0
21016,1,2,1,279,4,38,0
21016,1,2,1,280,4,39,0
21016,1,2,1,281,4,40,0
21016,1,2,1,282,4,41,0
21016,1,2,1,283,4,42,0
21016,1,2,1,284,4,43,0
21016,1,2,1,285,4,44,0
21016,1,2,1,286,4,45,0
21016,1,2,1,287,4,46,0
21016,1,2,1,288,4,47,0
21016,1,2,1,289,4,48,0
21016,1,2,1,290,4,49,0
21016,1,2,1,291,4,50,0
21016,1,2,1,292,4,51,0
21016,1,2,1,293,4,52,0
21016,1,2,1,294,4,53,0
21016,1,2,1,295,4,54,0
21016,1,2,1,296,4,55,0
21016,1,2,1,297,4,56,0
21016,1,2,1,298,4,57,0
21016,1,2,1,299,4,58,0
21016,1,2,1,300,4,59,0
21016,1,2,1,301,5,0,0
21016,1,2,1,302,5,1,0
21016,1,2,1,303,5,2,0
21016,1,2,1,304,5,3,0
21016,1,2,1,305,5,4,0
21016,1,2,1,306,5,5,0
21016,1,2,1,307,5,6,0
21016,1,2,1,308,5,7,0
21016,1,2,1,309,5,8,0
21016,1,2,1,310,5,9,0
21016,1,2,1,311,5,10,0
21016,1,2,1,312,5,11,0
21016,1,2,1,313,5,12,0
21016,1,2,1,314,5,13,0
21016,1,2,1,315,5,14,0
21016,1,2,1,316,5,15,0
21016,1,2,1,317,5,16,0
21016,1,2,1,318,5,17,0
21016,1,2,1,319,5,18,0
21016,1,2,1,320,5,19,0
21016,1,2,1,321,5,20,0
21016,1,2,1,322,5,21,0
21016,1,2,1,323,5,22,0
21016,1,2,1,324,5,23,0
21016,1,2,1,325,5,24,0
21016,1,2,1,326,5,25,0
21016,1,2,1,327,5,26,0
21016,1,2,1,328,5,27,0
21016,1,2,1,329,5,28,0
21016,1,2,1,330,5,29,0
21016,1,2,1,331,5,30,0
21016,1,2,1,332,5,31,0
21016,1,2,1,333,5,32,0
21016,1,2,1,334,5,33,0
21016,1,2,1,335,5,34,0
21016,1,2,1,336,5,35,0
21016,1,2,1,337,5,36,0
21016,1,2,1,338,5,37,0
21016,1,2,1,339,5,38,0
21016,1,2,1,340,5,39,0
21016,1,2,1,341,5,40,0
21016,1,2,1,342,5,41,0
21016,1,2,1,343,5,42,0
21016,1,2,1,344,5,43,0
21016,1,2,1,345,5,44,0
21016,1,2,1,346,5,45,0
21016,1,2,1,347,5,46,0
21016,1,2,1,348,5,47,0
21016,1,2,1,349,5,48,0
21016,1,2,1,350,5,49,0
21016,1,2,1,351,5,50,0
21016,1,2,1,352,5,51,0
21016,1,2,1,353,5,52,0
21016,1,2,1,354,5,53,0
21016,1,2,1,355,5,54,0
21016,1,2,1,356,5,55,0
21016,1,2,1,357,5,56,0
21016,1,2,1,358,5,57,0
21016,1,2,1,359,5,58,0
