"seqn","paxstat","paxcal","paxday","paxn","paxhour","paxminut","paxinten"
21096,1,1,7,1,0,0,0
21096,1,1,7,2,0,1,0
21096,1,1,7,3,0,2,0
21096,1,1,7,4,0,3,0
21096,1,1,7,5,0,4,0
21096,1,1,7,6,0,5,0
21096,1,1,7,7,0,6,0
21096,1,1,7,8,0,7,0
21096,1,1,7,9,0,8,0
21096,1,1,7,10,0,9,0
21096,1,1,7,11,0,10,0
21096,1,1,7,12,0,11,0
21096,1,1,7,13,0,12,0
21096,1,1,7,14,0,13,0
21096,1,1,7,15,0,14,0
21096,1,1,7,16,0,15,0
21096,1,1,7,17,0,16,0
21096,1,1,7,18,0,17,0
21096,1,1,7,19,0,18,0
21096,1,1,7,20,0,19,0
21096,1,1,7,21,0,20,0
21096,1,1,7,22,0,21,0
21096,1,1,7,23,0,22,0
21096,1,1,7,24,0,23,0
21096,1,1,7,25,0,24,0
21096,1,1,7,26,0,25,0
21096,1,1,7,27,0,26,0
21096,1,1,7,28,0,27,0
21096,1,1,7,29,0,28,0
21096,1,1,7,30,0,29,0
21096,1,1,7,31,0,30,0
21096,1,1,7,32,0,31,0
21096,1,1,7,33,0,32,0
21096,1,1,7,34,0,33,0
21096,1,1,7,35,0,34,0
21096,1,1,7,36,0,35,0
21096,1,1,7,37,0,36,0
21096,1,1,7,38,0,37,0
21096,1,1,7,39,0,38,0
21096,1,1,7,40,0,39,0
21096,1,1,7,41,0,40,0
21096,1,1,7,42,0,41,0
21096,1,1,7,43,0,42,0
21096,1,1,7,44,0,43,0
21096,1,1,7,45,0,44,0
21096,1,1,7,46,0,45,0
21096,1,1,7,47,0,46,0
21096,1,1,7,48,0,47,0
21096,1,1,7,49,0,48,0
21096,1,1,7,50,0,49,0
21096,1,1,7,51,0,50,0
21096,1,1,7,52,0,51,0
21096,1,1,7,53,0,52,0
21096,1,1,7,54,0,53,0
21096,1,1,7,55,0,54,0
21096,1,1,7,56,0,55,0
21096,1,1,7,57,0,56,0
21096,1,1,7,58,0,57,0
21096,1,1,7,59,0,58,0
21096,1,1,7,60,0,59,0
21096,1,1,7,61,1,0,0
21096,1,1,7,62,1,1,0
21096,1,1,7,63,1,2,0
21096,1,1,7,64,1,3,0
21096,1,1,7,65,1,4,0
21096,1,1,7,66,1,5,0
21096,1,1,7,67,1,6,0
21096,1,1,7,68,1,7,0
21096,1,1,7,69,1,8,0
21096,1,1,7,70,1,9,0
21096,1,1,7,71,1,10,0
21096,1,1,7,72,1,11,0
21096,1,1,7,73,1,12,0
21096,1,1,7,74,1,13,0
21096,1,1,7,75,1,14,0
21096,1,1,7,76,1,15,0
21096,1,1,7,77,1,16,0
21096,1,1,7,78,1,17,0
21096,1,1,7,79,1,18,0
21096,1,1,7,80,1,19,0
21096,1,1,7,81,1,20,0
21096,1,1,7,82,1,21,0
21096,1,1,7,83,1,22,0
21096,1,1,7,84,1,23,0
21096,1,1,7,85,1,24,0
21096,1,1,7,86,1,25,0
21096,1,1,7,87,1,26,0
21096,1,1,7,88,1,27,0
21096,1,1,7,89,1,28,0
21096,1,1,7,90,1,29,0
21096,1,1,7,91,1,30,0
21096,1,1,7,92,1,31,0
21096,1,1,7,93,1,32,0
21096,1,1,7,94,1,33,0
21096,1,1,7,95,1,34,0
21096,1,1,7,96,1,35,0
21096,1,1,7,97,1,36,0
21096,1,1,7,98,1,37,0
21096,1,1,7,99,1,38,0
21096,1,1,7,100,1,39,0
21096,1,1,7,101,1,40,0
21096,1,1,7,102,1,41,0
21096,1,1,7,103,1,42,0
21096,1,1,7,104,1,43,0
21096,1,1,7,105,1,44,0
21096,1,1,7,106,1,45,0
21096,1,1,7,107,1,46,0
21096,1,1,7,108,1,47,0
21096,1,1,7,109,1,48,0
21096,1,1,7,110,1,49,0
21096,1,1,7,111,1,50,0
21096,1,1,7,112,1,51,0
21096,1,1,7,113,1,52,0
21096,1,1,7,114,1,53,0
21096,1,1,7,115,1,54,0
21096,1,1,7,116,1,55,0
21096,1,1,7,117,1,56,0
21096,1,1,7,118,1,57,0
21096,1,1,7,119,1,58,0
21096,1,1,7,120,1,59,0
21096,1,1,7,121,2,0,0
21096,1,1,7,122,2,1,0
21096,1,1,7,123,2,2,0
21096,1,1,7,124,2,3,0
21096,1,1,7,125,2,4,0
21096,1,1,7,126,2,5,0
21096,1,1,7,127,2,6,0
21096,1,1,7,128,2,7,0
21096,1,1,7,129,2,8,0
21096,1,1,7,130,2,9,0
21096,1,1,7,131,2,10,0
21096,1,1,7,132,2,11,0
21096,1,1,7,133,2,12,0
21096,1,1,7,134,2,13,0
21096,1,1,7,135,2,14,0
21096,1,1,7,136,2,15,0
21096,1,1,7,137,2,16,0
21096,1,1,7,138,2,17,0
21096,1,1,7,139,2,18,0
21096,1,1,7,140,2,19,0
21096,1,1,7,141,2,20,0
21096,1,1,7,142,2,21,0
21096,1,1,7,143,2,22,0
21096,1,1,7,144,2,23,0
21096,1,1,7,145,2,24,0
21096,1,1,7,146,2,25,0
21096,1,1,7,147,2,26,0
21096,1,1,7,148,2,27,0
21096,1,1,7,149,2,28,0
21096,1,1,7,150,2,29,0
21096,1,1,7,151,2,30,0
21096,1,1,7,152,2,31,0
21096,1,1,7,153,2,32,0
21096,1,1,7,154,2,33,0
21096,1,1,7,155,2,34,0
21096,1,1,7,156,2,35,0
21096,1,1,7,157,2,36,0
21096,1,1,7,158,2,37,0
21096,1,1,7,159,2,38,0
21096,1,1,7,160,2,39,0
21096,1,1,7,161,2,40,0
21096,1,1,7,162,2,41,0
21096,1,1,7,163,2,42,0
21096,1,1,7,164,2,43,0
21096,1,1,7,165,2,44,0
21096,1,1,7,166,2,45,0
21096,1,1,7,167,2,46,0
21096,1,1,7,168,2,47,0
21096,1,1,7,169,2,48,0
21096,1,1,7,170,2,49,0
21096,1,1,7,171,2,50,0
21096,1,1,7,172,2,51,0
21096,1,1,7,173,2,52,0
21096,1,1,7,174,2,53,0
21096,1,1,7,175,2,54,0
21096,1,1,7,176,2,55,0
21096,1,1,7,177,2,56,0
21096,1,1,7,178,2,57,0
21096,1,1,7,179,2,58,0
21096,1,1,7,180,2,59,0
21096,1,1,7,181,3,0,0
21096,1,1,7,182,3,1,0
21096,1,1,7,183,3,2,0
